time,L_arm_shoulder_pitch_joint,L_arm_shoulder_roll_joint,L_arm_shoulder_yaw_joint,L_arm_elbow_joint,L_leg_hip_yaw_joint,L_leg_hip_roll_joint,L_leg_hip_pitch_joint,L_leg_knee_joint,L_leg_ankle_joint,R_arm_shoulder_pitch_joint,R_arm_shoulder_roll_joint,R_arm_shoulder_yaw_joint,R_arm_elbow_joint,R_leg_hip_yaw_joint,R_leg_hip_roll_joint,R_leg_hip_pitch_joint,R_leg_knee_joint,R_leg_ankle_joint
2.3363,-0.442978,0.125301,-0.501113,-0.473286,0.125465,-0.465230,-0.160230,0.395961,-0.343317,0.231799,-0.290351,0.066618,-0.592704,-0.024347,-0.058342,-1.029346,1.641614,-0.203275
2.3697,-0.527774,0.084392,-0.570556,-0.476815,0.127353,-0.448539,-0.130634,0.445526,-0.390143,0.266915,-0.276523,0.068085,-0.574223,-0.014123,-0.076994,-1.030946,1.465621,-0.201760
2.4031,-0.594208,0.043095,-0.592752,-0.485083,0.114224,-0.430910,-0.101218,0.459938,-0.410586,0.278696,-0.270955,0.072742,-0.547976,-0.006261,-0.089414,-1.024559,1.254665,-0.176507
2.4364,-0.640587,0.018813,-0.590720,-0.506336,0.117920,-0.419975,-0.063023,0.470071,-0.441580,0.279900,-0.268392,0.083333,-0.526655,0.007588,-0.067556,-0.995474,1.013939,-0.141186
2.4698,-0.667382,0.017791,-0.593367,-0.542745,0.108344,-0.419894,-0.030398,0.458605,-0.455340,0.254710,-0.271527,0.095513,-0.495469,0.025137,-0.013108,-0.954808,0.743092,-0.098001
2.5032,-0.677162,0.017649,-0.573768,-0.568716,0.110105,-0.425000,0.007175,0.454584,-0.471343,0.226613,-0.274433,0.102668,-0.475153,0.052484,0.009284,-0.892630,0.482615,-0.063028
2.5366,-0.678346,0.015200,-0.562362,-0.581200,0.106283,-0.429838,0.012982,0.526031,-0.513615,0.205958,-0.294778,0.100277,-0.478949,0.062174,0.018160,-0.931736,0.487485,-0.089398
2.5699,-0.669441,0.016593,-0.555616,-0.585475,0.116898,-0.405824,0.014141,0.616042,-0.541891,0.183925,-0.293952,0.086195,-0.483246,0.073076,-0.016886,-0.940683,0.554589,-0.075837
2.6033,-0.638674,0.023868,-0.551092,-0.570280,0.144009,-0.370507,0.019308,0.726470,-0.557101,0.159465,-0.282904,0.067457,-0.485698,0.081812,-0.045835,-0.952747,0.663312,-0.056562
2.6367,-0.581159,0.040783,-0.540989,-0.533166,0.199037,-0.341001,0.010846,0.890549,-0.514409,0.130338,-0.266348,0.048526,-0.481299,0.085846,-0.021902,-0.963485,0.809304,-0.090283
2.6701,-0.473748,0.067117,-0.522558,-0.446602,0.265157,-0.253469,-0.059399,1.183517,-0.433523,0.099498,-0.199684,0.029273,-0.447082,0.121861,0.023694,-0.928844,0.976673,-0.194613
2.7034,-0.429421,0.118068,-0.511637,-0.342461,0.316200,-0.167204,-0.288272,1.549539,-0.340554,0.017704,-0.140158,0.053458,-0.417644,0.162408,0.083220,-0.899309,1.006561,-0.253041
2.7368,-0.379318,0.170812,-0.465422,-0.299897,0.368697,-0.122889,-0.488979,1.797832,-0.272456,-0.040762,-0.113860,0.079377,-0.452419,0.175546,0.137911,-0.845301,0.990168,-0.301435
2.7702,-0.318901,0.230927,-0.410526,-0.284120,0.402085,-0.086933,-0.674536,1.958380,-0.324890,-0.088728,-0.100867,0.108905,-0.507482,0.182979,0.196093,-0.783733,0.967274,-0.339692
2.8036,-0.235091,0.286106,-0.337900,-0.291331,0.399577,-0.071852,-0.822725,2.028575,-0.333314,-0.132264,-0.106314,0.147056,-0.548211,0.172369,0.233967,-0.704325,0.952858,-0.389454
2.8369,-0.133985,0.327051,-0.243128,-0.322479,0.377559,-0.076479,-0.917641,2.014951,-0.319452,-0.161097,-0.119413,0.163840,-0.584109,0.141218,0.264134,-0.591686,0.924375,-0.433705
